Activity,acc_rh_x_iqr,acc_rh_x_max,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_min,acc_rh_x_std,acc_rh_y_iqr,acc_rh_y_max,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_min,acc_rh_y_std,acc_rh_z_iqr,acc_rh_z_max,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_min,acc_rh_z_std,gyro_rh_x_iqr,gyro_rh_x_max,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_min,gyro_rh_x_std,gyro_rh_y_iqr,gyro_rh_y_max,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_min,gyro_rh_y_std,gyro_rh_z_iqr,gyro_rh_z_max,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_min,gyro_rh_z_std
circle,0.4071825000000001,1.62456,1.000495859375,1.000395,1.62456,0.2831083366358168,0.3487675,0.48732,0.045549140625,-0.005980000000000001,0.48732,0.2208166198845328,0.17035250000000005,0.61574,0.29717375,0.271125,0.61574,0.1325098576875509,37.5225075,92.89072,-0.05555328124999992,-3.048035,92.89072,29.85370836560995,22.183145000000003,58.29798,1.442655625,3.5744800000000003,58.29798,24.241893301724428,56.65189,130.97781,-3.4386967968749995,-4.5930349999999995,130.97781,43.05528018454117
circle,0.4038200000000003,1.52055,0.9831903125,0.976835,1.52055,0.25363566361557843,0.31714749999999997,0.48732,0.070614453125,0.06409,0.48732,0.20070533622004405,0.18811749999999994,0.61574,0.30032671875,0.286995,0.61574,0.12981561692279514,26.709415,92.89072,-3.71044234375,-5.15,92.89072,28.519734968167725,10.56894,58.29798,-1.868900703125,-1.670885,58.29798,20.73481510193108,50.1361825,130.97781,0.7673142187500002,0.7515149999999999,130.97781,39.63892226863359
circle,0.3206275000000004,1.35649,0.990045625,0.9701200000000001,1.35649,0.18141921600411265,0.2796125,0.30836,0.031946953125,0.03406,0.30836,0.15669274330356786,0.11651750000000002,0.57009,0.283442578125,0.279185,0.57009,0.08427116115224129,27.514345000000002,63.15805,-8.833796796875003,-7.831815,63.15805,20.77833744505745,11.143065,25.74999,-2.0845575000000003,-1.6518150000000003,25.74999,13.640864512336922,37.9173425,55.69628,4.959556015625001,2.945035,55.69628,25.195722694097785
circle,0.3117125000000001,1.29154,0.986419453125,0.9706100000000001,1.29154,0.17583611147577075,0.25269250000000004,0.2566,0.004998906249999999,0.006344999999999999,0.2566,0.1468236769491427,0.11230749999999998,0.44704,0.250053125,0.24439,0.44704,0.07160246046695515,26.089505000000006,37.09525,-8.143494687499999,-8.117925,37.09525,19.316854467260818,13.855407500000002,25.74999,-2.920716875,-1.78152,25.74999,14.454821475334565,32.7826025,52.58339,-0.08982726562499987,-2.277445,52.58339,23.803403212889467
circle,0.30951999999999996,1.29154,0.99150640625,0.96829,1.29154,0.17825494378984966,0.26385749999999997,0.36964,0.08568070312500001,0.097905,0.36964,0.15586534771730653,0.1110825,0.36451,0.233849140625,0.22962,0.36451,0.0641535507594297,26.5491975,87.17612,-3.524649375,-1.3466299999999998,87.17612,27.534594377230484,12.049082499999999,33.95947,-1.092943984375,-1.922665,33.95947,11.181563212776544,40.721225,90.13642,-3.5083174999999995,-7.515179999999999,90.13642,29.935660622543946
circle,0.3322225,1.43828,1.0307590625,1.0522799999999999,1.43828,0.19407700414170945,0.28357750000000004,0.40968,0.138749140625,0.173345,0.40968,0.16740987062085896,0.10943749999999997,0.45412,0.256534375,0.25025,0.45412,0.07514760442736597,28.525270000000003,87.17612,-4.22931703125,-3.7804800000000003,87.17612,27.91515251635991,12.163535000000001,33.95947,-0.006616249999999879,-3.505815,33.95947,12.394625929805095,44.2117825,90.13642,-2.4650253906250006,-7.515179999999999,90.13642,33.517166293982896
circle,0.3256325000000001,1.43828,1.0181642968750002,1.042875,1.43828,0.2023597852012428,0.29322,0.40968,0.07047117187499999,0.03369,0.40968,0.17590318961461573,0.0844125,0.45412,0.257656875,0.255625,0.45412,0.0689181495025757,27.150027500000004,47.34184000000001,-5.95397046875,-7.992035,47.34184000000001,18.13458524832949,15.516754999999998,36.97318,-1.01068671875,-3.063295,36.97318,16.278807136640886,36.7194925,82.07953,0.5514189062499999,-3.82626,82.07953,27.800111671893074
circle,0.3054875000000001,1.39677,0.97864625,0.95706,1.39677,0.19719676550735435,0.26050999999999996,0.44044,0.061857109375,0.040405,0.44044,0.1504213927664564,0.08557250000000005,0.31153000000000003,0.215966640625,0.20972,0.31153000000000003,0.052155930964832266,22.721025000000004,29.51903,-4.29470546875,-1.693775,29.51903,14.777609425586965,18.654435,36.97318,-2.481535859375,-3.85296,36.97318,15.684094452234707,24.834435,64.5085,2.803053125,4.013185,64.5085,25.00681643116241
circle,0.36878249999999996,1.39677,1.00658015625,1.0222449999999998,1.39677,0.20249468411612212,0.28804,0.44044,0.106588125,0.13953000000000002,0.44044,0.18738776795120424,0.05414,0.34571,0.1912059375,0.18006,0.34571,0.04583444384817049,19.31822,29.51903,-3.820416796875,-1.27796,29.51903,15.092605392918825,17.5061775,23.8197,-3.31912625,-5.249185,23.8197,10.48170745746332,31.6743925,90.9299,-0.5577973437499999,2.55211,90.9299,26.816903469899287
circle,0.34643999999999986,1.44853,1.0412575781250002,1.0878,1.44853,0.1926403571861067,0.3315525,0.44044,0.055268984375,0.044805000000000005,0.44044,0.20887570769194835,0.05780249999999997,0.34571,0.19727882812500006,0.184455,0.34571,0.047801629771200886,16.802352499999998,22.37007,-6.360188515624999,-5.78326,22.37007,14.361523987658131,19.52231,23.8197,-0.005543203124999896,-2.231665,23.8197,11.367853921864631,29.4904125,90.9299,-0.6645526562499999,-0.09537,90.9299,23.804466124717685
circle,0.3725725000000001,1.44853,0.9961796875,0.980375,1.44853,0.21092478803895326,0.295845,0.42042,0.054813046875000014,0.05408,0.42042,0.1862484950843504,0.06329749999999998,0.32984,0.19286359375,0.18128,0.32984,0.05090372178704089,14.6088275,16.39607,-4.27837328125,-2.159185,16.39607,12.03875252338925,20.311975,22.42348,0.7566447656250003,-0.04577999999999999,22.42348,11.263109791209695,21.088285,47.70043,1.2411254687499995,3.769035,47.70043,18.763281831732886
circle,0.37629250000000014,1.35551,0.99700515625,0.97293,1.35551,0.20954677893978246,0.32905500000000004,0.42042,0.12197515625,0.12244000000000001,0.42042,0.1733959218540061,0.07257499999999997,0.32081,0.18996625,0.182255,0.32081,0.04919101980735406,15.9077725,13.52733,-4.793671328125002,-2.5025150000000003,13.52733,11.402717472950142,14.793847500000002,19.31822,-1.59930109375,-3.135775,19.31822,9.71119396459524,22.44255,52.91146,0.43196757812499975,-1.59841,52.91146,17.816258757081037
circle,0.3692725,1.35405,1.035132421875,1.06351,1.35405,0.2027900127931989,0.32802000000000003,0.56398,0.109574921875,0.07483500000000001,0.56398,0.19939651750656004,0.0992475,0.40162,0.21354359375,0.20520500000000003,0.40162,0.06956971811982897,19.7950725,22.88888,-9.069958359375,-7.095555,22.88888,14.292260346047426,16.9625625,31.220440000000004,1.5475626562500002,1.9608150000000002,31.220440000000004,10.734608722644154,31.1250675,52.91146,1.3920488281250003,0.5569599999999999,52.91146,19.56802268668981
circle,0.4522200000000001,1.35405,0.981936796875,0.959255,1.35405,0.2312691781707438,0.318735,0.56398,0.110022890625,0.07483500000000001,0.56398,0.19834659514326314,0.1059575,0.40162,0.2280209375,0.22449499999999997,0.40162,0.07455229379474916,23.4458375,22.88888,-6.105490234375,-6.59963,22.88888,16.001758436968267,18.742172500000002,31.220440000000004,0.058712187499999964,0.14878,31.220440000000004,12.180365525135233,40.98254250000001,58.14539,1.760178359375,1.68996,58.14539,23.238415817500673
circle,0.4568,1.43559,0.99344984375,0.972195,1.43559,0.2456166387125994,0.2937675,0.39381,0.124086328125,0.13953,0.39381,0.15791639956432987,0.0835575,0.41676,0.23329078125,0.22657,0.41676,0.06367398838037906,18.513295,21.37822,-5.605690078125001,-5.470445,21.37822,16.178459640266066,18.01737,24.03333,-3.741677109375,-5.36744,24.03333,12.325940710512164,44.5970825,102.3896,2.21926734375,-0.927,102.3896,28.87875776041685
circle,0.3986275000000001,1.43559,1.018085859375,1.044225,1.43559,0.2447436776013304,0.2874825,0.39381,0.0701125,0.03992,0.39381,0.16463032779913306,0.1080375,0.46803,0.24402953125,0.234015,0.46803,0.07454688126293596,20.42451,28.98495,-7.782756328125,-6.9429599999999985,28.98495,17.158170481217994,19.720682500000002,24.03333,0.3288487499999998,1.4000350000000001,24.03333,12.177618724936476,42.197565000000004,102.3896,1.3025202343750004,-0.587485,102.3896,30.13327301864047
circle,0.4396524999999999,1.49004,0.99108671875,1.002475,1.49004,0.2541825793078833,0.36695,0.4839,0.110916015625,0.11597,0.4839,0.20748290369833727,0.12225999999999998,0.46803,0.243388828125,0.2389,0.46803,0.08500098460478538,23.152105,29.83947,-6.193409453125,-4.902035,29.83947,16.420320906907413,20.1822675,36.81295,-0.17178578124999996,-2.945035,36.81295,13.356527325229685,38.331247499999996,54.98672,1.84482015625,5.180515,54.98672,27.42966745540133
circle,0.3625575,1.49004,1.0235223437499998,1.07816,1.49004,0.2233802426409268,0.4124225,0.4839,0.126158046875,0.133545,0.4839,0.2140839697447104,0.14312749999999996,0.50197,0.271950390625,0.25953000000000004,0.50197,0.09502542652662056,26.8524725,59.38139,-3.207245078125,-0.888855,59.38139,21.399290699472374,17.0178875,36.81295,-1.7672721875,-4.52818,36.81295,13.822536350384805,41.45176000000001,51.49236,-1.3834657812500002,1.66326,51.49236,30.108369002527343
circle,0.3665875000000001,1.62505,0.99235359375,1.026885,1.62505,0.2035133050078298,0.2606875,0.48952,0.069137890625,0.056275,0.48952,0.17671589461730455,0.14557249999999994,0.53005,0.2803239843750001,0.25794,0.53005,0.0928255387671195,24.4930075,59.38139,-7.9604431249999985,-8.461255,59.38139,25.289697761487737,17.8170875,49.98932,-1.22407859375,-2.2965150000000003,49.98932,12.702772940278,42.06595,76.02924,3.700667343750001,4.177225,76.02924,31.050351785075048
