Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_x_max,acc_rh_x_min,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_y_max,acc_rh_y_min,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,acc_rh_z_max,acc_rh_z_min,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_x_max,gyro_rh_x_min,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_y_max,gyro_rh_y_min,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,gyro_rh_z_max,gyro_rh_z_min
uptodown,0.63906,0.6362,0.59906,0.65088,0.55598,0.55598,0.37905,0.37229,0.15361,0.42432,0.15685,0.15685,0.19173,0.14025,0.44456,0.49938,0.03675,0.03675,0.74666,0.86096,0.29378,0.30273,0.36287,0.36287,0.81166,0.65961,0.65002,0.56204,1.0,1.0,0.64186,0.73092,0.19988,0.22846,0.21581,0.21581
uptodown,0.36255,0.31192,0.65987,0.83154,0.55598,0.55598,0.40812,0.39914,0.13073,0.26189,0.15685,0.15685,0.13126,0.07692,0.50065,0.39336,0.03675,0.03675,0.76346,0.9567,0.49842,0.29172,0.39185,0.39185,0.82557,0.60423,0.72289,0.63447,1.0,1.0,0.64835,0.77024,0.19864,0.30355,0.11324,0.11324
uptodown,0.32538,0.2949,0.7114,0.85276,1.0,1.0,0.35301,0.37765,0.36483,0.42959,0.42393,0.42393,0.17185,0.12822,0.4292,0.26697,0.18408,0.18408,0.88279,0.98768,0.47487,0.32892,0.39185,0.39185,0.69908,0.32984,0.8167,0.70879,1.0,1.0,0.69666,0.74086,0.30486,0.4762,0.18564,0.18564
uptodown,0.34574,0.42092,0.68707,0.68996,1.0,1.0,0.32548,0.35944,0.57712,0.51451,0.65432,0.65432,0.20227,0.11306,0.44694,0.33216,0.34804,0.34804,1.0,0.96305,0.45467,0.35574,0.40017,0.40017,0.9248,0.57892,0.86869,0.78061,1.0,1.0,1.0,1.0,0.50622,0.54927,0.98284,0.98284
uptodown,0.30641,0.20374,0.6897,0.69239,0.86678,0.86678,0.36012,0.36212,0.55206,0.44463,0.65432,0.65432,0.21722,0.10255,0.47047,0.3871,0.34804,0.34804,0.84578,1.0,0.58854,0.48732,0.40017,0.40017,0.7965,0.42991,0.80384,0.70113,1.0,1.0,0.78419,0.78926,0.46649,0.43021,0.98284,0.98284
uptodown,0.52758,0.49671,0.75245,0.77035,1.0,1.0,0.39243,0.34819,0.46432,0.59774,0.39371,0.39371,0.21794,0.09021,0.48642,0.46322,0.27147,0.27147,0.68264,0.94345,0.62321,0.60567,0.41195,0.41195,0.73628,0.42705,0.7718,0.65236,1.0,1.0,0.4536,0.64807,0.3006,0.42696,0.12087,0.12087
uptodown,0.40778,0.45525,0.69733,0.69228,1.0,1.0,0.4214,0.47154,0.42509,0.70314,0.35039,0.35039,0.23582,0.18412,0.41742,0.41839,0.22429,0.22429,0.69151,0.79713,0.49062,0.21071,0.41195,0.41195,0.82772,0.59971,0.79462,0.6787,1.0,1.0,0.82258,0.91334,0.34737,0.35573,0.36362,0.36362
uptodown,0.20372,0.21197,0.7225,0.68218,1.0,1.0,0.45494,0.4882,0.49309,0.5512,0.47598,0.47598,0.26636,0.19834,0.36491,0.2748,0.22429,0.22429,0.62762,0.74916,0.37949,0.18849,0.27033,0.27033,0.64078,0.37839,0.75947,0.60406,1.0,1.0,0.79998,0.95815,0.35294,0.51001,0.36362,0.36362
uptodown,0.48218,0.49561,0.86095,0.77287,1.0,1.0,0.53565,0.52145,0.50369,0.49887,0.47598,0.47598,0.21624,0.16805,0.3906,0.3193,0.14735,0.14735,0.56579,0.71967,0.47809,0.49241,0.28912,0.28912,0.67585,0.42212,0.81944,0.64828,1.0,1.0,0.5281,0.66286,0.40848,0.63312,0.29112,0.29112
uptodown,0.32974,0.2603,0.82286,0.76095,1.0,1.0,0.5162,0.53593,0.52371,0.42549,0.54515,0.54515,0.18655,0.11924,0.54269,0.33756,0.37549,0.37549,0.5701,0.74169,0.42642,0.28615,0.28912,0.28912,0.77203,0.43926,0.8583,0.71367,1.0,1.0,0.69793,0.73642,0.40283,0.65089,0.29112,0.29112
uptodown,0.18029,0.15322,0.6837,0.71006,1.0,1.0,0.55608,0.57776,0.71549,0.46561,0.80663,0.80663,0.21797,0.14736,0.55256,0.27307,0.37549,0.37549,0.54139,0.62187,0.31863,0.13061,0.27968,0.27968,0.6514,0.30639,0.8313,0.71614,1.0,1.0,0.70671,0.74339,0.34503,0.54976,0.28023,0.28023
uptodown,0.40919,0.35778,0.74068,0.70783,1.0,1.0,0.66116,0.64054,0.67917,0.46337,0.80663,0.80663,0.23287,0.17484,0.40896,0.37182,0.23512,0.23512,0.57758,0.62542,0.42063,0.2369,0.10282,0.10282,0.75166,0.34063,0.89117,0.82283,1.0,1.0,0.63034,0.73684,0.22728,0.32474,0.11789,0.11789
uptodown,0.30894,0.21143,0.72181,0.7443,1.0,1.0,0.62171,0.64109,0.4342,0.53611,0.47878,0.47878,0.22174,0.19277,0.28704,0.35286,0.07348,0.07348,0.69112,0.77585,0.54427,0.4713,0.27173,0.27173,0.66783,0.38957,0.77337,0.66736,1.0,1.0,0.55039,0.61044,0.2188,0.19942,0.27332,0.27332
uptodown,0.48004,0.33307,0.68375,0.6829,0.97946,0.97946,0.71216,0.69152,0.41809,0.64434,0.41939,0.41939,0.30602,0.20759,0.29015,0.28576,0.22158,0.22158,0.52282,0.7598,0.63237,0.70584,0.27173,0.27173,0.55632,0.3416,0.7185,0.53968,1.0,1.0,0.4672,0.49884,0.20525,0.11043,0.27332,0.27332
uptodown,0.43894,0.33883,0.7095,0.60502,1.0,1.0,0.78988,0.77789,0.42078,0.45579,0.41939,0.41939,0.2636,0.16867,0.43118,0.34209,0.22158,0.22158,0.41966,0.61348,0.51629,0.52563,0.14068,0.14068,0.56252,0.24935,0.76298,0.63974,1.0,1.0,0.43439,0.46967,0.1321,0.10039,0.09452,0.09452
uptodown,0.16057,0.18095,0.63166,0.59675,1.0,1.0,0.69463,0.70439,0.22922,0.29276,0.39091,0.39091,0.0,0.0,0.35074,0.1639,0.0,0.0,0.4564,0.54069,0.28139,0.20389,0.01524,0.01524,0.64981,0.45688,0.64088,0.4478,1.0,1.0,0.66215,0.8271,0.17934,0.48986,0.09395,0.09395
uptodown,0.30183,0.26223,0.59043,0.60139,0.52956,0.52956,0.85978,0.81703,0.42277,0.6164,0.49048,0.49048,0.09743,0.04572,0.60223,0.45576,0.12221,0.12221,0.26848,0.53677,0.68523,0.38632,0.16022,0.16022,0.67373,0.52595,0.65729,0.47534,1.0,1.0,0.63084,0.72501,0.17904,0.33368,0.12399,0.12399
uptodown,0.24272,0.3089,0.61605,0.57615,0.86225,0.86225,0.93034,0.93239,0.48055,0.66294,0.49048,0.49048,0.32376,0.17424,0.65991,0.59708,0.29737,0.29737,0.24621,0.65304,0.96955,0.74916,0.17461,0.17461,0.68183,0.36077,0.85989,0.72735,1.0,1.0,0.5458,0.5018,0.22342,0.10951,0.27144,0.27144
uptodown,0.025,0.2246,0.68039,0.64725,0.86225,0.86225,0.8157,0.81545,0.41083,0.60827,0.34393,0.34393,0.28865,0.1971,0.55075,0.43906,0.29737,0.29737,0.32004,0.67954,0.87333,0.48154,0.17461,0.17461,0.70992,0.3696,0.84887,0.66816,1.0,1.0,0.59312,0.41513,0.22658,0.23758,0.27144,0.27144
uptodown,0.0,0.0,0.85312,0.81034,0.99349,0.99349,0.86399,0.84225,0.46916,0.52962,0.4283,0.4283,0.29556,0.15818,0.56602,0.42933,0.20844,0.20844,0.33807,0.6857,0.9318,0.71245,0.46392,0.46392,0.6711,0.23732,0.90484,0.80995,1.0,1.0,0.55295,0.33249,0.26436,0.32651,0.26616,0.26616
uptodown,0.32804,0.04695,1.0,0.9593,1.0,1.0,0.71012,0.71404,0.48102,0.65889,0.4283,0.4283,0.26188,0.17517,0.51026,0.2362,0.21927,0.21927,0.65412,0.90015,0.88635,0.7934,0.48327,0.48327,0.77087,0.23415,1.0,1.0,1.0,1.0,0.58991,0.62735,0.30753,0.47719,0.26616,0.26616
