Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_x_max,acc_rh_x_min,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_y_max,acc_rh_y_min,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,acc_rh_z_max,acc_rh_z_min,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_x_max,gyro_rh_x_min,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_y_max,gyro_rh_y_min,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,gyro_rh_z_max,gyro_rh_z_min
circle,0.55523,0.52255,0.21261,0.16814,0.28666,0.28666,0.38805,0.28208,0.06114,0.08266,0.129,0.129,0.3388,0.48124,0.08371,0.09078,0.23066,0.23066,0.33682,0.34777,0.18382,0.09653,0.19477,0.19477,0.56454,0.76129,0.09192,0.09801,0.10752,0.10752,0.43831,0.29566,0.44666,0.41088,0.71945,0.71945
circle,0.37221,0.37981,0.22818,0.20004,0.35548,0.35548,0.51325,0.47561,0.11916,0.14232,0.19849,0.19849,0.33661,0.49464,0.11418,0.11474,0.23066,0.23066,0.47322,0.42821,0.16026,0.1418,0.20554,0.20554,0.50729,0.49208,0.11509,0.10264,0.25137,0.25137,0.46974,0.4939,0.36986,0.34172,0.25427,0.25427
circle,0.59208,0.63857,0.17739,0.14009,0.35548,0.35548,0.56001,0.52033,0.12809,0.17646,0.19849,0.19849,0.43439,0.55124,0.14341,0.14989,0.28068,0.28068,0.72951,0.58638,0.31928,0.20322,0.57777,0.57777,0.32485,0.394,0.12425,0.07091,0.25137,0.25137,0.28263,0.37302,0.44595,0.39754,0.21998,0.21998
circle,0.38079,0.46326,0.14463,0.14322,0.52611,0.52611,0.38505,0.3237,0.0775,0.06255,0.20283,0.20283,0.46306,0.54688,0.137,0.154,0.32207,0.32207,0.32157,0.28793,0.44354,0.16406,0.57777,0.57777,0.38696,0.53226,0.10224,0.07893,0.39969,0.39969,0.57731,0.45942,0.47271,0.40852,0.46077,0.46077
circle,0.30673,0.43072,0.15613,0.15314,0.52611,0.52611,0.42445,0.34824,0.05826,0.06347,0.20283,0.20283,0.38306,0.52512,0.10218,0.06333,0.32207,0.32207,0.03969,0.2332,0.23897,0.05597,0.02788,0.02788,0.18511,0.39518,0.11447,0.09168,0.39969,0.39969,0.83407,0.5533,0.3735,0.35475,0.46077,0.46077
circle,0.50724,0.5718,0.15765,0.1492,0.3817,0.3817,0.34856,0.26312,0.07446,0.06255,0.15687,0.15687,0.35253,0.50837,0.08263,0.0734,0.1677,0.1677,0.44712,0.43708,0.08605,0.03445,0.11853,0.11853,0.48224,0.49232,0.17945,0.15468,0.30574,0.30574,0.37191,0.30222,0.35643,0.2934,0.31402,0.31402
circle,0.40703,0.3727,0.1445,0.15063,0.3817,0.3817,0.39699,0.42497,0.09439,0.0932,0.16403,0.16403,0.26986,0.40622,0.05658,0.04586,0.1677,0.1677,0.50244,0.39347,0.0976,0.03733,0.13507,0.13507,0.46341,0.44056,0.18937,0.16275,0.30574,0.30574,0.51492,0.44408,0.21599,0.19333,0.31402,0.31402
circle,0.63163,0.50043,0.14463,0.11483,0.27833,0.27833,0.41981,0.50854,0.12438,0.12427,0.16403,0.16403,0.31161,0.45378,0.07336,0.06384,0.26665,0.26665,0.32597,0.31785,0.07406,0.0051,0.13507,0.13507,0.45951,0.54786,0.16464,0.16239,0.25936,0.25936,0.43415,0.36397,0.18415,0.22782,0.16689,0.16689
circle,0.44772,0.23707,0.22174,0.21276,0.27833,0.27833,0.31336,0.36128,0.16193,0.15259,0.17439,0.17439,0.35366,0.48226,0.09251,0.06693,0.26665,0.26665,0.36875,0.43272,0.21932,0.08868,0.32138,0.32138,0.49328,0.69629,0.22201,0.17987,0.25936,0.25936,0.53588,0.59722,0.31191,0.35175,0.16689,0.16689
circle,0.46257,0.24457,0.22475,0.21063,0.35548,0.35548,0.30685,0.34607,0.17202,0.1492,0.17439,0.17439,0.33828,0.48293,0.16096,0.10703,0.21303,0.21303,0.46753,0.46805,0.42345,0.29152,0.60556,0.60556,0.40341,0.53321,0.28778,0.24868,0.42554,0.42554,0.39449,0.53533,0.36946,0.22687,0.149,0.149
